ParkCode,LatS,LongE,LatN,LongW
NCRN,37.7,-76.1,40.36,-79.5
ANTI,39.41199,-77.76446,39.51582,-77.68432
CATO,39.61,-77.41761,39.693,-77.50483
CHOH,38.569,-77.00608,39.69851,-78.77488
GWMP,38.725,-76.9989,39,-77.5
HAFE,39.2774,-77.6686,39.34616,-77.7928
MANA,38.79868,-77.4883,38.84478,-77.5738
MONO,39.34193,-77.37377,39.37818,-77.41234
NACE,38.7,-76.92983,38.96729,-77.09885
PRWI,38.54549,-77.3302,38.63079,-77.4378
ROCR,38.87327,-76.9667,38.99567,-77.1067
WOTR,38.93315,-77.2602,38.94244,-77.2722
ERMN,35.5,-74.3,43.526,-82.643
ALPO,40.3,-78.4,40.5,-78.9
BLUE,37.5,-80.9,37.6,-81
DEWA,40.9,-74.7,41.3,-75.2
FONE,39.8,-79.5,39.9,-79.7
FRHI,39.7,-79.9,39.8,-80
GARI,38.139,-80.882,38.246,-81.122
JOFL,40.334,-78.767,40.352,-78.781
NERI,37.674,-80.856,38.094,-81.123
MIDN,36.2,-75.2,40.7,-79.9
APCO,37.417,-78.76,37.367,-78.824
BOWA,37.107,-79.725,37.123,-79.736
COLO,37.191,-76.482,37.3,-76.835
FRSP,38.144,-77.43,38.332,-77.768
GETT,39.774,-77.16,39.857,-77.281
GEWA,38.182,-76.913,38.202,-76.934
HOFU,40.19,-75.755,40.22,-75.777
PETE,37.133,-77.271,37.318,-77.642
RICH,37.348,-77.237,37.6,-77.427
SAHI,40.884,-73.504,40.89,-73.49
THST,38.522,-77.045,38.537,-77.029
VAFO,40.079,-75.472,40.122,-75.416
NETN,39,-66.95,46,-76.383
ACAD,44.006,-68.037,44.431,-68.66
MABI,43.627,-72.507,43.64,-72.554
MIMA,42.446,-71.256,42.475,-71.383
MORR,40.74,-74.466,40.799,-74.566
ROVA,41.756,-73.887,41.805,-73.947
SAGA,43.503,-72.364,43.49,-72.381
SARA,42.973,-73.599,43.015,-73.659
WEFA,41.255,-73.45,41.266,-73.459
